dataset,batch_size,full_auc,incr_auc,auc_diff,full_ms,incr_ms,speedup
Stack-Overflow,1,1.000000,1.000000,0.00000000,38.5145,0.4730,81.42
Stack-Overflow,5,1.000000,1.000000,0.00000000,45.1416,0.4819,93.68
Stack-Overflow,10,1.000000,1.000000,0.00000000,38.6393,0.4579,84.39
Stack-Overflow,20,0.955000,0.955000,0.00000000,38.4331,0.4778,80.44
Stack-Overflow,50,0.928000,0.928400,0.00040000,38.2640,0.4806,79.61
Stack-Overflow,100,0.968300,0.968100,0.00020000,38.2146,0.4705,81.23
