dataset,batch_size,full_auc,incr_auc,auc_diff,full_ms,incr_ms,speedup
Wiki-Talk,1,1.000000,1.000000,0.00000000,39.3708,0.4976,79.13
Wiki-Talk,5,1.000000,1.000000,0.00000000,41.4301,0.4770,86.85
Wiki-Talk,10,1.000000,1.000000,0.00000000,44.1658,0.4657,94.83
Wiki-Talk,20,1.000000,1.000000,0.00000000,38.9733,0.4904,79.47
Wiki-Talk,50,0.992400,0.992000,0.00040000,45.3545,0.5023,90.29
Wiki-Talk,100,0.987000,0.987400,0.00040000,39.0559,0.5051,77.32
