window,seq_auc,relaxed_auc,diff
185,0.8500,0.8466,-0.0034
186,0.8216,0.8678,0.0462
187,0.9124,0.9202,0.0078
188,0.8646,0.8558,-0.0088
189,0.8074,0.8062,-0.0012
190,0.7918,0.8252,0.0334
191,0.8590,0.8442,-0.0148
192,0.8800,0.8812,0.0012
193,0.8316,0.8594,0.0278
194,0.8872,0.8596,-0.0276
195,0.8434,0.8422,-0.0012
196,0.8352,0.8388,0.0036
197,0.9134,0.8998,-0.0136
198,0.7926,0.7994,0.0068
199,0.8530,0.8452,-0.0078
200,0.8298,0.8290,-0.0008
201,0.8010,0.8474,0.0464
202,0.8746,0.8482,-0.0264
203,0.8192,0.8390,0.0198
204,0.8342,0.8272,-0.0070
205,0.7858,0.8024,0.0166
206,0.8926,0.9172,0.0246
207,0.8388,0.8402,0.0014
208,0.8230,0.8444,0.0214
209,0.9174,0.9470,0.0296
210,0.8712,0.9136,0.0424
211,0.8400,0.8304,-0.0096
212,0.8766,0.8746,-0.0020
213,0.8344,0.8520,0.0176
214,0.7552,0.7836,0.0284
215,0.8088,0.8114,0.0026
216,0.8626,0.9020,0.0394
217,0.8572,0.8704,0.0132
218,0.8720,0.8664,-0.0056
219,0.8558,0.8656,0.0098
220,0.7948,0.8266,0.0318
221,0.8428,0.8300,-0.0128
222,0.8374,0.8516,0.0142
223,0.8644,0.8804,0.0160
224,0.8492,0.8648,0.0156
225,0.8720,0.8832,0.0112
226,0.8706,0.8464,-0.0242
227,0.8138,0.8292,0.0154
228,0.8822,0.8938,0.0116
229,0.8540,0.8804,0.0264
230,0.8696,0.8566,-0.0130
231,0.8394,0.8736,0.0342
232,0.8174,0.8430,0.0256
233,0.8302,0.8502,0.0200
234,0.8854,0.8784,-0.0070
235,0.7960,0.8292,0.0332
236,0.8642,0.8630,-0.0012
237,0.8358,0.8638,0.0280
238,0.8356,0.8448,0.0092
239,0.7670,0.8160,0.0490
240,0.8826,0.8920,0.0094
241,0.7808,0.7844,0.0036
242,0.8692,0.9218,0.0526
243,0.7078,0.7124,0.0046
244,0.8760,0.8604,-0.0156
245,0.8726,0.8696,-0.0030
246,0.8158,0.8462,0.0304
247,0.8634,0.8590,-0.0044
248,0.8574,0.8862,0.0288
249,0.8192,0.8566,0.0374
250,0.7922,0.8080,0.0158
251,0.9128,0.8916,-0.0212
252,0.8776,0.8756,-0.0020
253,0.8234,0.8466,0.0232
254,0.8564,0.9128,0.0564
255,0.8208,0.8016,-0.0192
256,0.8816,0.9002,0.0186
257,0.8700,0.8746,0.0046
258,0.8144,0.8830,0.0686
259,0.8820,0.8678,-0.0142
260,0.8734,0.8326,-0.0408
261,0.8626,0.9178,0.0552
262,0.8634,0.8566,-0.0068
263,0.8490,0.8858,0.0368
264,0.8496,0.8904,0.0408
265,0.8654,0.9066,0.0412
266,0.8980,0.8980,0.0000
267,0.8542,0.8608,0.0066
268,0.8756,0.8904,0.0148
269,0.8318,0.8282,-0.0036
270,0.9086,0.9206,0.0120
271,0.8148,0.8494,0.0346
272,0.8402,0.8974,0.0572
273,0.8444,0.8682,0.0238
274,0.8606,0.8920,0.0314
275,0.8802,0.8944,0.0142
276,0.8716,0.8636,-0.0080
277,0.8094,0.8406,0.0312
278,0.8578,0.8432,-0.0146
279,0.8892,0.8868,-0.0024
280,0.9332,0.9608,0.0276
281,0.9106,0.8988,-0.0118
282,0.8100,0.8320,0.0220
283,0.8460,0.8546,0.0086
284,0.8514,0.8656,0.0142
285,0.8476,0.8860,0.0384
286,0.8714,0.8508,-0.0206
287,0.8734,0.8636,-0.0098
288,0.8812,0.8730,-0.0082
289,0.8462,0.8710,0.0248
290,0.8386,0.8310,-0.0076
291,0.8456,0.8638,0.0182
292,0.7548,0.7796,0.0248
293,0.8478,0.8560,0.0082
294,0.8950,0.8840,-0.0110
295,0.8164,0.8180,0.0016
296,0.8790,0.8882,0.0092
297,0.8470,0.8300,-0.0170
298,0.8074,0.8046,-0.0028
299,0.8916,0.8870,-0.0046
300,0.8670,0.8670,0.0000
301,0.8098,0.8146,0.0048
302,0.8762,0.8770,0.0008
303,0.8702,0.8956,0.0254
304,0.8658,0.8646,-0.0012
305,0.8170,0.8286,0.0116
306,0.9182,0.9122,-0.0060
307,0.8546,0.8624,0.0078
308,0.8490,0.8790,0.0300
309,0.8676,0.8620,-0.0056
310,0.8992,0.9090,0.0098
311,0.9030,0.9042,0.0012
312,0.7978,0.8306,0.0328
313,0.9012,0.8962,-0.0050
314,0.8264,0.8416,0.0152
315,0.8244,0.8312,0.0068
316,0.9124,0.9162,0.0038
317,0.8628,0.8918,0.0290
318,0.8038,0.8218,0.0180
319,0.8918,0.9018,0.0100
320,0.8714,0.9152,0.0438
321,0.8604,0.8656,0.0052
322,0.9038,0.9034,-0.0004
323,0.8266,0.8306,0.0040
324,0.8776,0.8750,-0.0026
325,0.8702,0.8706,0.0004
326,0.8774,0.8888,0.0114
327,0.8982,0.8742,-0.0240
