dataset,batch_size,full_auc,incr_auc,auc_diff,full_ms,incr_ms,speedup
Bitcoin,1,0.000000,0.000000,0.00000000,7.9247,0.4697,16.87
Bitcoin,5,0.680000,0.680000,0.00000000,9.7687,0.4467,21.87
Bitcoin,10,0.730000,0.730000,0.00000000,7.7248,0.4329,17.84
Bitcoin,20,0.810000,0.805000,0.00500000,7.7211,0.4524,17.07
Bitcoin,50,0.741200,0.740400,0.00080000,7.8012,0.5741,13.59
Bitcoin,100,0.577500,0.575100,0.00240000,7.7609,0.4588,16.91
