strategy,rebuild_interval,rebuilds,affected_ratio,speedup,eliminated_pct,T_sample_ms,T_mfg_ms,T_mail_ms,T_embed_ms,T_predict_ms,T_update_ms,T_tgl_total_ms,T_stream_total_ms
no_rebuild,0,0,1.0000,2.03,50.7,6.15,1.75,0.90,7.41,0.26,0.89,17.36,8.56
rebuild_3000,3000,64,0.7956,2.44,59.1,5.06,1.42,0.95,5.62,0.64,0.83,14.52,5.94
rebuild_6000,6000,32,0.8971,2.55,60.8,6.68,1.13,0.61,4.98,0.55,0.73,14.67,5.75
rebuild_12000,12000,16,0.9484,1.92,47.8,3.12,1.99,0.59,5.59,0.46,0.77,12.53,6.54
rebuild_30000,30000,6,0.9807,1.83,45.4,2.86,1.64,0.64,5.60,0.24,0.60,11.58,6.32
