dataset,batch_size,full_auc,incr_auc,auc_diff,full_ms,incr_ms,speedup
MOOC,1,1.000000,1.000000,0.00000000,54.8815,0.5238,104.78
MOOC,5,0.920000,0.920000,0.00000000,57.1004,0.5293,107.87
MOOC,10,1.000000,0.930000,0.07000000,55.1034,0.5408,101.88
MOOC,20,0.912500,0.912500,0.00000000,54.8841,0.5336,102.85
MOOC,50,0.948400,0.942800,0.00560000,55.0777,0.5445,101.16
MOOC,100,0.938850,0.948050,0.00920000,54.9050,0.5525,99.38
