window,seq_auc,relaxed_auc,diff
182,0.9653,0.9598,-0.0055
183,0.9726,0.9729,0.0003
184,0.9680,0.9633,-0.0047
185,0.9604,0.9393,-0.0211
186,0.9496,0.9499,0.0003
187,0.9507,0.9513,0.0006
188,0.9270,0.9161,-0.0109
189,0.9535,0.9640,0.0105
190,0.9628,0.9728,0.0100
191,0.9583,0.9626,0.0043
192,0.9621,0.9583,-0.0038
193,0.9149,0.9376,0.0227
194,0.9494,0.9418,-0.0076
195,0.9642,0.9542,-0.0100
196,0.9696,0.9543,-0.0153
197,0.9538,0.9474,-0.0064
198,0.9289,0.9413,0.0124
199,0.9214,0.9258,0.0044
200,0.9342,0.9627,0.0285
201,0.9039,0.9209,0.0170
202,0.9466,0.9505,0.0039
203,0.9401,0.9490,0.0089
204,0.9318,0.9355,0.0037
205,0.9604,0.9444,-0.0160
206,0.9658,0.9467,-0.0191
207,0.9507,0.9539,0.0032
208,0.9339,0.9647,0.0308
209,0.9209,0.9456,0.0247
210,0.9374,0.9179,-0.0195
211,0.9384,0.9351,-0.0033
212,0.9495,0.9185,-0.0310
213,0.9496,0.9403,-0.0093
214,0.9359,0.9150,-0.0209
215,0.9382,0.9256,-0.0126
216,0.9499,0.9349,-0.0149
217,0.9324,0.9494,0.0170
218,0.9170,0.9328,0.0158
219,0.9641,0.9592,-0.0049
220,0.9413,0.9492,0.0079
221,0.9309,0.9386,0.0077
222,0.9670,0.9748,0.0078
223,0.9203,0.9110,-0.0093
224,0.9386,0.9300,-0.0086
225,0.9378,0.9067,-0.0311
226,0.9436,0.9415,-0.0021
227,0.9863,0.9739,-0.0124
228,0.9726,0.9601,-0.0125
229,0.9313,0.9365,0.0052
230,0.9274,0.9211,-0.0063
231,0.9268,0.9417,0.0149
232,0.9556,0.9727,0.0171
233,0.9663,0.9663,-0.0000
234,0.9348,0.9264,-0.0084
235,0.9342,0.9516,0.0174
236,0.9208,0.9455,0.0247
237,0.9562,0.9657,0.0095
238,0.9341,0.9544,0.0203
239,0.9679,0.9673,-0.0006
240,0.9321,0.9324,0.0003
241,0.9444,0.9484,0.0040
242,0.9674,0.9503,-0.0171
243,0.9173,0.9262,0.0089
244,0.9481,0.9532,0.0051
245,0.9732,0.9755,0.0023
246,0.9545,0.9434,-0.0111
247,0.9709,0.9464,-0.0245
248,0.9565,0.9315,-0.0250
249,0.9497,0.9469,-0.0028
250,0.9410,0.9452,0.0042
251,0.9477,0.9478,0.0001
252,0.9682,0.9701,0.0019
253,0.9594,0.9575,-0.0019
254,0.9181,0.9386,0.0205
255,0.9402,0.9500,0.0098
256,0.9617,0.9539,-0.0078
257,0.9390,0.9472,0.0082
258,0.9531,0.9662,0.0131
259,0.9615,0.9389,-0.0226
260,0.9653,0.9593,-0.0060
261,0.9415,0.9295,-0.0120
262,0.9464,0.9516,0.0052
263,0.9553,0.9506,-0.0047
264,0.9534,0.9405,-0.0129
265,0.9680,0.9746,0.0066
266,0.9511,0.9630,0.0119
267,0.9678,0.9472,-0.0206
268,0.9697,0.9540,-0.0157
269,0.9679,0.9355,-0.0324
270,0.9728,0.9716,-0.0012
271,0.9466,0.9426,-0.0040
272,0.9581,0.9533,-0.0048
273,0.9450,0.9407,-0.0043
274,0.9371,0.9323,-0.0048
275,0.9100,0.9279,0.0179
276,0.9528,0.9595,0.0067
277,0.9338,0.9295,-0.0043
278,0.9467,0.9310,-0.0157
279,0.9180,0.9328,0.0148
280,0.9400,0.9410,0.0010
281,0.9386,0.9463,0.0077
282,0.9394,0.9349,-0.0045
283,0.9508,0.9574,0.0066
284,0.9312,0.9388,0.0076
285,0.9539,0.9425,-0.0114
286,0.9673,0.9637,-0.0036
287,0.9652,0.9462,-0.0190
288,0.9674,0.9521,-0.0153
289,0.9330,0.9336,0.0006
290,0.9550,0.9604,0.0054
291,0.9506,0.9531,0.0025
292,0.9590,0.9272,-0.0318
293,0.9254,0.9242,-0.0012
294,0.9522,0.9266,-0.0256
295,0.9727,0.9686,-0.0041
296,0.9492,0.9399,-0.0093
297,0.9448,0.9373,-0.0075
298,0.9733,0.9751,0.0018
299,0.9276,0.9427,0.0151
300,0.9578,0.9532,-0.0046
301,0.9354,0.9567,0.0213
302,0.9499,0.9533,0.0034
303,0.9254,0.9507,0.0253
304,0.9381,0.9544,0.0163
305,0.9510,0.9656,0.0146
306,0.9194,0.9515,0.0321
307,0.9533,0.9622,0.0089
308,0.9586,0.9455,-0.0131
309,0.9610,0.9577,-0.0033
310,0.9407,0.9672,0.0265
311,0.9478,0.9569,0.0091
312,0.9807,0.9689,-0.0118
313,0.9422,0.9518,0.0096
314,0.9299,0.8883,-0.0416
315,0.9264,0.9313,0.0049
316,0.9443,0.9491,0.0048
317,0.9372,0.9553,0.0181
318,0.9470,0.9377,-0.0093
319,0.9329,0.9506,0.0177
320,0.9588,0.9364,-0.0224
321,0.9659,0.9676,0.0017
322,0.9434,0.9363,-0.0071
323,0.9163,0.9458,0.0295
324,0.9446,0.9311,-0.0135
325,0.9467,0.9570,0.0103
326,0.9111,0.9257,0.0146
327,0.9417,0.9364,-0.0053
328,0.9204,0.9354,0.0150
329,0.9426,0.9393,-0.0033
330,0.9502,0.9584,0.0082
331,0.9178,0.9340,0.0162
332,0.9208,0.9424,0.0216
333,0.9224,0.9376,0.0152
334,0.9545,0.9543,-0.0002
335,0.9426,0.9212,-0.0214
336,0.9456,0.9551,0.0095
337,0.9629,0.9686,0.0057
338,0.9365,0.9457,0.0092
339,0.9391,0.9626,0.0235
340,0.9603,0.9587,-0.0016
341,0.9305,0.9491,0.0186
342,0.9185,0.9204,0.0019
343,0.9589,0.9685,0.0096
344,0.9641,0.9468,-0.0173
345,0.8956,0.9216,0.0260
346,0.9452,0.9491,0.0039
347,0.9400,0.9248,-0.0152
348,0.9301,0.9341,0.0040
349,0.9341,0.9582,0.0241
350,0.9119,0.9083,-0.0036
351,0.9692,0.9643,-0.0049
352,0.8932,0.9179,0.0247
